# ### sample size: 10
1 55.83380 12.10834
2 48.35142 9.24065
3 55.60294 11.16675
4 52.80380 9.34601
5 51.49685 15.16490
6 51.54984 9.84147
7 46.32718 11.28214
8 57.36149 12.99843
9 56.68075 12.88628
10 68.64319 11.22990

# ### sample size: 100
1 53.46359 12.34348
2 56.39800 13.04139
3 56.68219 13.39342
4 55.31942 14.34047
5 54.99042 13.97952
6 54.83873 13.61160
7 53.80656 11.50978
8 54.17147 12.28313
9 55.15503 13.82701
10 56.58866 12.62016
# 
#  ### sample size: 1000
1 55.29211 12.92026
2 55.40896 13.22434
3 54.57617 12.95414
4 54.48152 13.21073
5 55.49519 12.97408
6 55.10926 12.36422
7 54.70807 13.65347
8 55.25320 13.29421
9 55.31607 13.01630
10 54.80298 12.84085
# 
#  ### sample size: 10000
1 54.99088 12.93180
2 55.01963 13.14635
3 55.03328 12.80571
4 54.79968 12.87134
5 54.99185 13.01729
6 54.91199 13.03064
7 54.81325 12.91261
8 55.07377 13.04907
9 54.92091 13.05463
10 54.81944 12.84815
# 
#  ### sample size: 100000
1 55.08392 13.01687
2 54.98809 13.03119
3 54.99257 12.99180
4 54.96396 12.97240
5 54.95042 13.04217
6 55.04673 12.98217
7 55.01956 12.99686
8 55.01189 12.96846
9 54.96763 12.99702
10 54.98448 13.02905
# 
#  ### sample size: 1000000
1 54.99187 13.00809
2 54.99495 12.98694
3 55.01935 13.00872
4 54.98656 12.98572
5 54.97619 13.00897
6 54.98198 13.01254
7 54.99378 13.00099
8 54.98799 13.00381
9 55.01632 12.98696
10 54.98755 13.00203

# ### the sigma of means per sample
10.000000 5.84086
100.000000 1.08312
1000.000000 0.35022
10000.000000 0.09465
100000.000000 0.03871
1000000.000000 0.01319
