# ### sample size: 10
1 53.42228 13.80580
2 54.67145 13.82826
3 59.95282 11.18106
4 55.22830 13.12728
5 60.76900 15.49744
6 57.40806 14.43617
7 65.25054 12.70568
8 55.02251 7.70666
9 54.82339 11.64040
10 51.13087 15.71533

# ### sample size: 100
1 54.45951 12.17384
2 55.56288 13.56713
3 55.92844 11.90221
4 54.10193 13.15146
5 54.00242 12.46364
6 55.04970 12.71146
7 55.60567 12.76595
8 56.20561 12.99036
9 56.60967 13.00301
10 54.60172 13.58598
# 
#  ### sample size: 1000
1 55.74011 13.28228
2 54.80066 13.02076
3 55.00570 13.33422
4 54.63162 13.11880
5 55.03861 12.44150
6 54.77246 13.17769
7 55.23006 12.90998
8 55.41768 13.25841
9 55.50802 12.94048
10 55.97461 13.30423
# 
#  ### sample size: 10000
1 54.95857 12.81907
2 55.19640 13.11640
3 55.01389 13.03095
4 54.93678 13.08175
5 55.02471 13.07453
6 54.76639 12.91938
7 54.98762 12.97028
8 54.88426 13.11117
9 54.77234 12.91447
10 54.94037 12.96764
# 
#  ### sample size: 100000
1 55.02607 13.01701
2 54.98785 13.01793
3 54.94425 12.95659
4 54.95938 13.00821
5 54.97757 12.99487
6 54.97514 13.00970
7 55.02378 12.94318
8 55.02205 13.00540
9 55.02612 12.98314
10 55.03078 12.96921
# 
#  ### sample size: 1000000
1 54.98480 12.99397
2 54.99243 12.99864
3 55.02084 12.98368
4 55.02345 12.97937
5 54.99445 12.99876
6 54.99220 12.99570
7 54.99279 12.99979
8 54.95604 12.98913
9 54.99651 13.00502
10 55.01850 12.99668
